job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Product Manager/Owner,FPT Software,Ho Chi Minh City,2026-05-05,,,,Full-time,Manager+,4.0,"Agile, Scrum, REST, Excel",linkedin,True
IT Manager,FiinGroup,Hanoi,2026-04-08,,,,Full-time,Mid,1.0,,linkedin,True
Other,ETEK AUTOMATION SOLUTIONS JSC,Ho Chi Minh City,2026-01-08,,,,Full-time,Mid,5.0,,linkedin,True
Other,Elitez Asia Việt Nam,Other,2026-05-06,,,,Full-time,Mid,3.0,"GCP, Windows Server, SAP, Networking, Firewall, VPN, ERP",linkedin,True
Security Engineer,Monee,Ho Chi Minh City,2026-05-01,,,,Full-time,Mid,1.0,,linkedin,True
Other,Cube System Vietnam,Ho Chi Minh City,2025-12-09,,,,Full-time,Mid,2.0,,linkedin,True
Project Manager,ACB - Asia Commercial Bank,Ho Chi Minh City,2026-04-17,,,,Full-time,Manager+,10.0,"Agile, Scrum, REST, AI, Jira, Confluence, Project Management, PMP",linkedin,True
IT Manager,PERSOL APAC,Ho Chi Minh City,2026-04-17,,,,Full-time,Mid,,"SQL, MySQL, REST, SAP, VMware, Hyper-V, Firewall, Security, Cybersecurity, ERP",linkedin,True
Data Engineer,Nexlab Technology,Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,,"Python, Docker, AWS, Azure, GCP, SQL, PostgreSQL, GraphQL, AI, TensorFlow, PyTorch, Pandas, Power BI",linkedin,True
Fullstack/Software Engineer,Endava,Ho Chi Minh City,2026-04-24,,,,Full-time,Junior,,"Python, React, Docker, Kubernetes, MongoDB, MySQL, Elasticsearch, Agile, REST, API",linkedin,True
Project Manager,GoTymeX,Ho Chi Minh City,2026-03-09,,,,Full-time,Mid,,"Java, Scala, AWS, DevOps, Agile, Scrum, Excel, iOS, Android",linkedin,True
QA/Tester,Amaris Consulting,Ho Chi Minh City,2026-05-01,,,,Full-time,Mid,3.0,"SQL, API",linkedin,True
IT Manager,DHL Supply Chain,Ho Chi Minh City,2026-05-01,,,,Full-time,Manager+,10.0,"Scala, Excel",linkedin,True
Fullstack/Software Engineer,Nimble,Ho Chi Minh City,2026-05-05,,,,Full-time,Mid,,"Docker, Kubernetes, AWS, Azure, GCP, DevOps, AI, Excel, Security",linkedin,True
System/Network Admin,Công ty Cổ phần Đầu tư Xây dựng và Thương mại An Phát Vinh,Hanoi,2026-04-08,,,,Full-time,Mid,,VPN,linkedin,True
Other,IHG Hotels & Resorts,Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,1.0,Security,linkedin,True
Project Manager,QDP - Quân Đạt & Partners,Ho Chi Minh City,2026-04-24,,,,Full-time,Junior,,Project Management,linkedin,True
